Composition,Ref,Density,Young_Modulus_ROM,Young_Modulus_Exp,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
HfTaTiZr,[45],10.2,112.0,,AC,S,BCC,T,25.0,1500.0,147.3,1,1,6,1
Mo0.1NbTiV0.3Zr,[46],6.6,106.0,,AC,S,BCC,C,25.0,932.0,141.2,1,1,6,0
Mo0.3NbTiV0.3Zr,[46],6.8,118.4,,AC,S,BCC,C,25.0,1312.0,193.9,1,1,6,0
Mo0.3NbTiVZr,[46],6.7,119.9,,AC,S,BCC,C,25.0,1289.0,192.8,1,1,6,0
Mo0.5NbTiV0.3Zr,[46],6.9,129.4,,AC,S,BCC,C,25.0,1301.0,188.0,1,1,6,0
Mo0.5NbTiVZr,[46],6.8,129.2,,AC,S,BCC,C,25.0,1473.0,215.9,1,1,6,0
Mo0.7NbTiV0.3Zr,[46],7.1,139.4,,AC,S,BCC,C,25.0,1436.0,203.4,1,1,6,0
Mo0.7NbTiVZr,[46],7.0,137.7,,AC,S,BCC,C,25.0,1706.0,245.5,1,1,6,0
Mo1.3NbTiV0.3Zr,[46],7.4,164.2,,AC,S,BCC,C,25.0,1603.0,216.2,1,1,6,0
Mo1.3NbTiVZr,[46],7.3,159.4,,AC,S,BCC,C,25.0,1496.0,205.5,1,1,6,0
Mo1.5NbTiV0.3Zr,[46],7.5,171.0,,AC,S,BCC,C,25.0,1576.0,209.7,1,1,6,0
Mo1.5NbTiVZr,[46],7.4,,,AC,M,2 BCC,C,25.0,1603.0,217.3,1,0,0,0
Mo1.7NbTiVZr,[46],7.5,,,AC,M,2 BCC,C,25.0,1645.0,220.4,1,0,0,0
Mo2NbTiVZr,[46],7.6,,,AC,M,2 BCC,C,25.0,1765.0,232.6,1,0,0,0
MoNbTaTi0.25W,[47],13.1,249.4,,AC,S,BCC,C,25.0,1109.0,84.7,1,1,6,0
MoNbTaTi0.5W,[47],12.6,242.0,,AC,S,BCC,C,25.0,1211.0,96.1,1,1,6,0
MoNbTaTi0.75W,[47],12.2,235.4,,AC,S,BCC,C,25.0,1304.0,107.3,1,1,6,0
MoNbTaTiV,[48],9.4,172.8,130.5,AC,S,BCC,C,25.0,1400.0,149.4,1,1,6,0
MoNbTaTiVW,[49],11.0,212.5,164.0,AC,S,BCC,C,25.0,1515.0,138.1,1,1,6,0
MoNbTaTiW,[47],11.8,229.4,,AC,S,BCC,C,25.0,1455.0,123.8,1,1,6,0
MoNbTaTiZr,[50],9.1,,153.0,AC,M,2 BCC,C,25.0,1390.0,152.2,1,0,0,0
MoNbTaV,[52],10.7,187.0,,AC,S,BCC,C,25.0,1525.0,142.7,1,1,6,0
MoNbTaVW,[53],12.4,231.8,204.5,SPS,S,BCC,C,25.0,2612.0,211.0,5,1,6,0
MoNbTaW,[54],13.7,257.8,220.0,HIP+A,S,BCC,C,25.0,1058.0,77.5,3,1,6,0
MoNbTiV,[3],7.3,169.5,161.1,AC,S,BCC,C,25.0,1200.0,163.4,1,1,6,0
MoNbTiV0.25Zr,[55],7.3,152.9,141.6,AC,S,BCC,C,25.0,1750.0,241.2,1,1,6,0
MoNbTiV0.3Zr,[46],7.2,152.7,,AC,S,BCC,C,25.0,1455.0,200.8,1,1,6,0
MoNbTiV0.5Zr,[55],7.2,151.6,141.7,AC,S,BCC,C,25.0,1640.0,227.5,1,1,6,0
MoNbTiV0.75Zr,[55],7.2,150.3,141.5,AC,S,BCC,C,25.0,1680.0,234.5,1,1,6,0
MoNbTiV1.5Zr,[55],7.1,,,AC,M,2 BCC,C,25.0,1720.0,243.9,1,0,0,0
MoNbTiV2Zr,[55],7.0,,,AC,M,2 BCC,C,25.0,1520.0,217.5,1,0,0,0
MoNbTiV3Zr,[55],6.9,,,AC,M,2 BCC,C,25.0,1415.0,205.5,1,0,0,0
MoNbTiVZr,[46],7.1,149.2,139.5,AC,S,BCC,C,25.0,1779.0,249.7,1,1,6,0
MoNbTiZr,[55],7.3,154.5,140.1,AC,S,BCC,C,25.0,1560.0,213.4,1,1,6,0
MoTaTiV,[6],9.6,189.8,,AC,S,BCC,C,25.0,1221.0,127.4,1,1,6,0
NbTaTiV,[4],9.2,133.8,108.0,AC,S,BCC,C,25.0,1092.0,119.1,1,1,6,0
NbTaTiVW,[56],11.1,189.2,257.3,AC,S,BCC,C,25.0,1420.0,127.9,1,1,6,0
NbTaVW,[56],12.9,207.5,,AC,S,BCC,C,25.0,1530.0,118.7,1,1,6,0
NbTiV0.3Zr,[46],6.5,99.2,,AC,S,BCC,C,25.0,866.0,133.0,1,1,6,0
NbTiV2Zr,[21],6.4,,,HIP+A,M,3 BCC,C,25.0,918.0,143.3,3,0,2,0
NbTiVZr,[21],6.5,,,HIP+A,M,2 BCC,C,25.0,1105.0,171.1,3,0,0,0
