Composition,Al_pct,Co_pct,Cr_pct,Hf_pct,Mo_pct,Nb_pct,Si_pct,Ta_pct,Ti_pct,V_pct,W_pct,Zr_pct,Equilibrium_Conditions,Single_Multiphase,Type_Present_Phases,Tension_Compression,Density,Young_Modulus_ROM,Young_Modulus_Exp,Testing_Temp,Yield_Strength,Specific_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
AlNbTiVZr0.5,22.22222222222222,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,22.22222222222222,22.22222222222222,0.0,11.11111111111111,A,M,B2+Al3Zr5+Laves,C,5.6,,,25.0,1485.0,262.9,0,0,5,0
AlNbTiVZr1.5,18.181818181818183,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,18.181818181818183,18.181818181818183,0.0,27.272727272727273,A,M,B2+Al3Zr5+Laves,C,5.8,,,25.0,1535.0,262.6,0,0,5,0
Co.1Hf0.5Mo0.5NbTiZr,0.0,2.439024390243903,0.0,12.195121951219512,12.195121951219512,24.390243902439025,0.0,0.0,24.390243902439025,0.0,0.0,24.390243902439025,AC,M,BCC+MC,C,7.8,,,25.0,1183.0,151.5,1,0,12,0
Co.3Hf0.5Mo0.5NbTiZr,0.0,6.976744186046512,0.0,11.627906976744187,11.627906976744187,23.255813953488374,0.0,0.0,23.255813953488374,0.0,0.0,23.255813953488374,AC,M,BCC+MC,C,7.7,,,25.0,1201.0,156.2,1,0,12,0
CoCrMoNb,0.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,AC,M,BCC+Laves,C,8.8,,,25.0,1419.6,,1,0,9,0
CoCrMoNbTi,0.0,20.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,AC,M,BCC+Laves,C,7.8,,,25.0,1096.8,,1,0,9,0
CoCrMoNbTi0.2,0.0,23.80952380952381,23.80952380952381,0.0,23.80952380952381,23.80952380952381,0.0,0.0,4.761904761904762,0.0,0.0,0.0,AC,M,BCC+Laves,C,8.5,,,25.0,1905.6,,1,0,9,0
CoCrMoNbTi0.4,0.0,22.727272727272727,22.727272727272727,0.0,22.727272727272727,22.727272727272727,0.0,0.0,9.09090909090909,0.0,0.0,0.0,AC,S,BCC,C,8.3,220.1,,25.0,1771.3,,1,1,6,0
CoCrMoNbTi0.5,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,22.22222222222222,0.0,0.0,11.11111111111111,0.0,0.0,0.0,AC,M,BCC+Laves,C,8.2,,,25.0,1509.2,,1,0,9,0
CrHfNbTiZr,0.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,A,M,BCC+Laves,C,8.2,,112.0,25.0,1457.0,176.9,0,0,9,0
CrMo0.5NbTa0.5TiZr,0.0,0.0,20.0,0.0,10.0,20.0,0.0,10.0,20.0,0.0,0.0,20.0,HIP+A,M,2 BCC+Laves,C,8.0,,,25.0,1595.0,199.5,3,0,1,0
CrNbTiVZr,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,HIP+A,M,BCC+Laves,C,6.6,,,25.0,1298.0,197.8,3,0,9,0
CrNbTiZr,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,HIP+A,M,BCC+Laves,C,6.6,,,25.0,1260.0,189.5,3,0,9,0
CrTaTi0.17VW,0.0,0.0,23.980815347721823,0.0,0.0,0.0,0.0,23.980815347721823,4.07673860911271,23.980815347721823,23.980815347721823,0.0,SPS,M,BCC+Laves,C,12.6,,,25.0,2034.0,161.0,5,0,9,0
CrTaTi0.3VW,0.0,0.0,23.255813953488374,0.0,0.0,0.0,0.0,23.255813953488374,6.976744186046512,23.255813953488374,23.255813953488374,0.0,SPS,M,BCC+Laves,C,12.3,,,25.0,2050.0,166.1,5,0,9,0
CrTaVW,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,SPS,M,BCC+Laves,C,13.0,,,25.0,2327.0,178.5,5,0,9,0
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.0,0.0,0.0,7.984031936127745,0.0,30.738522954091817,0.0,30.738522954091817,17.764471057884233,0.0,0.0,12.774451097804391,AC,S,BCC,C,10.4,125.0,79.0,25.0,822.0,79.1,1,1,6,0
Hf0.5Mo0.5NbSi0.1TiZr,0.0,0.0,0.0,12.195121951219512,12.195121951219512,24.390243902439025,2.439024390243903,0.0,24.390243902439025,0.0,0.0,24.390243902439025,AC,M,BCC+M5Si3,C,7.7,,,25.0,1350.0,174.6,1,0,11,0
Hf0.5Mo0.5NbSi0.3TiZr,0.0,0.0,0.0,11.627906976744187,11.627906976744187,23.255813953488374,6.976744186046512,0.0,23.255813953488374,0.0,0.0,23.255813953488374,AC,M,BCC+M5Si3,C,7.5,,,25.0,1370.0,183.3,1,0,11,0
Hf0.5Mo0.5NbSi0.5TiZr,0.0,0.0,0.0,11.11111111111111,11.11111111111111,22.22222222222222,11.11111111111111,0.0,22.22222222222222,0.0,0.0,22.22222222222222,AC,M,BCC+M5Si3,C,7.2,,,25.0,1600.0,221.0,1,0,11,0
Hf0.5Mo0.5NbSi0.7TiZr,0.0,0.0,0.0,10.638297872340425,10.638297872340425,21.27659574468085,14.893617021276595,0.0,21.27659574468085,0.0,0.0,21.27659574468085,AC,M,BCC+M5Si3,C,7.0,,,25.0,1550.0,220.6,1,0,11,0
Hf0.5Mo0.5NbSi0.9TiZr,0.0,0.0,0.0,10.204081632653061,10.204081632653061,20.408163265306122,18.36734693877551,0.0,20.408163265306122,0.0,0.0,20.408163265306122,AC,M,BCC+M5Si3,C,6.8,,,25.0,1650.0,241.5,1,0,11,0
Hf0.5Mo0.5NbTiZr,0.0,0.0,0.0,12.5,12.5,25.0,0.0,0.0,25.0,0.0,0.0,25.0,AC,S,BCC,C,7.9,123.1,,25.0,1176.0,149.4,1,1,6,0
Hf0.5Nb0.5Ta0.5Ti1.5Zr,0.0,0.0,0.0,12.5,0.0,12.5,0.0,12.5,37.5,0.0,0.0,25.0,AC,S,BCC,C,8.2,106.6,,25.0,903.0,110.3,1,1,6,0
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,15.0,0.0,20.0,0.0,10.0,30.0,0.0,0.0,25.0,CR+A,S,BCC,C,8.4,,80.0,268.8,2390.0,284.2,2,1,6,0
HfMo0.25NbTa1TiZr,0.0,0.0,0.0,19.047619047619047,4.761904761904762,19.047619047619047,0.0,19.047619047619047,19.047619047619047,0.0,0.0,19.047619047619047,AC,S,BCC,C,9.9,121.0,96.0,25.0,1112.0,112.2,1,1,6,0
HfMo0.5NbSi0.3TiV0.5,0.0,0.0,0.0,23.255813953488374,11.627906976744187,23.255813953488374,6.976744186046512,0.0,23.255813953488374,11.627906976744187,0.0,0.0,AC,M,BCC+M5Si3,C,8.5,,,25.0,1617.0,191.0,1,0,11,0
HfMo0.5NbSi0.5TiV0.5,0.0,0.0,0.0,22.22222222222222,11.11111111111111,22.22222222222222,11.11111111111111,0.0,22.22222222222222,11.11111111111111,0.0,0.0,AC,M,BCC+M5Si3,C,8.2,,,25.0,1787.0,218.7,1,0,11,0
HfMo0.5NbSi0.7TiV0.5,0.0,0.0,0.0,21.27659574468085,10.638297872340425,21.27659574468085,14.893617021276595,0.0,21.27659574468085,10.638297872340425,0.0,0.0,AC,M,BCC+M5Si3,C,7.9,,,25.0,2134.0,270.1,1,0,11,0
HfMo0.5NbTaTiZr,0.0,0.0,0.0,18.181818181818183,9.090909090909092,18.181818181818183,0.0,18.181818181818183,18.181818181818183,0.0,0.0,18.181818181818183,AC,S,BCC,C,9.9,130.5,102.0,25.0,1317.0,132.8,1,1,6,0
HfMo0.5NbTiV0.5,0.0,0.0,0.0,25.0,12.5,25.0,0.0,0.0,25.0,12.5,0.0,0.0,AC,S,BCC,C,9.0,131.9,,25.0,1260.0,140.4,1,1,6,0
HfMo0.75NbTa1TiZr,0.0,0.0,0.0,17.391304347826086,13.043478260869565,17.391304347826086,0.0,17.391304347826086,17.391304347826086,0.0,0.0,17.391304347826086,AC,S,BCC,C,9.9,139.1,109.0,25.0,1373.0,138.3,1,1,6,0
HfMoNbTaTiZr,0.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,0.0,16.666666666666668,16.666666666666668,0.0,0.0,16.666666666666668,AC,S,BCC,C,9.9,147.0,115.0,25.0,1512.0,152.1,1,1,6,0
HfMoNbTiZr,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,AC,S,BCC,C,8.7,139.2,,25.0,1719.0,197.9,1,1,6,0
HfMoTaTiZr,0.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,AC,S,BCC,C,10.2,155.4,,25.0,1600.0,157.0,1,1,6,0
HfNb0.18Ta0.18Ti1.27Zr,0.0,0.0,0.0,27.548209366391184,0.0,4.958677685950414,0.0,4.958677685950414,34.98622589531681,0.0,0.0,27.548209366391184,CR+A,S,BCC,T,8.5,95.2,79.0,25.0,540.0,63.8,2,1,6,1
HfNbSi0.5TiV,0.0,0.0,0.0,22.22222222222222,0.0,22.22222222222222,11.11111111111111,0.0,22.22222222222222,22.22222222222222,0.0,0.0,AC,M,BCC+M5Si3,C,7.8,,,25.0,1399.0,179.3,1,0,11,0
HfNbSi0.5TiVZr,0.0,0.0,0.0,18.181818181818183,0.0,18.181818181818183,9.090909090909092,0.0,18.181818181818183,18.181818181818183,0.0,18.181818181818183,AC,M,BCC+Laves+M5Si3,C,7.5,,,25.0,1540.0,204.9,1,0,10,0
HfNbTaTiZr,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,SPD,S,BCC,T,9.9,110.6,88.9,25.0,1900.0,192.0,4,1,6,1
HfNbTaZr,0.0,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,A,M,BCC+HCP,C,11.1,,,25.0,2310.0,208.8,0,0,8,0
HfNbTiVZr,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,A,S,BCC,C,8.1,99.0,128.0,25.0,1253.0,155.5,0,1,6,0
HfNbTiZr,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,A,S,BCC,T,8.4,91.8,,25.0,879.0,104.8,0,1,6,1
HfTa0.4TiZr,0.0,0.0,0.0,29.411764705882355,0.0,0.0,0.0,11.764705882352942,29.411764705882355,0.0,0.0,29.411764705882355,AC,M,BCC+HCP,T,9.2,,,25.0,400.0,43.5,1,0,8,1
HfTa0.5TiZr,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,14.285714285714286,28.571428571428573,0.0,0.0,28.571428571428573,AC,M,BCC+HCP,T,9.4,,,25.0,700.0,74.7,1,0,8,1
HfTa0.6TiZr,0.0,0.0,0.0,27.77777777777778,0.0,0.0,0.0,16.666666666666668,27.77777777777778,0.0,0.0,27.77777777777778,AC,M,BCC+HCP,T,9.6,,,25.0,800.0,83.7,1,0,8,1
HfTaTiZr,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,25.0,AC,S,BCC,T,10.2,112.0,,25.0,1500.0,147.3,1,1,6,1
